competition_id,country,leagueName,season,first_id,point_diff,totalGames,goals,goalsPerGame,total_matches,playoffs_matches,total_wins
BE1,Belgium,jupiler-pro-league,2012,58,53,240,703,2.929,18.0,0.0,5.0
DK1,Denmark,superligaen,2012,190,34,197,558,2.832,12.0,0.0,2.0
GB1,England,premier-league,2012,985,64,380,1063,2.797,61.0,19.0,25.0
FR1,France,ligue-1,2012,583,54,380,967,2.545,42.0,6.0,17.0
L1,Germany,bundesliga,2012,27,70,306,898,2.935,60.0,18.0,32.0
GR1,Greece,super-league-1,2012,683,57,240,512,2.133,12.0,0.0,4.0
IT1,Italy,serie-a,2012,506,65,380,1003,2.639,48.0,12.0,21.0
NL1,Netherlands,eredivisie,2012,610,53,306,964,3.15,18.0,0.0,3.0
PO1,Portugal,liga-portugal-bwin,2012,720,55,240,667,2.779,45.0,9.0,15.0
RU1,Russia,premier-liga,2012,2410,45,240,627,2.613,32.0,8.0,13.0
SC1,Scotland,scottish-premiership,2012,371,49,228,623,2.732,8.0,2.0,3.0
ES1,Spain,laliga,2012,131,66,380,1091,2.871,62.0,20.0,27.0
TR1,Turkey,super-lig,2012,141,49,306,817,2.67,22.0,10.0,12.0
UKR1,Ukraine,premier-liga,2012,660,68,240,623,2.596,26.0,2.0,13.0
BE1,Belgium,jupiler-pro-league,2013,3057,45,239,642,2.686,24.0,0.0,6.0
DK1,Denmark,superligaen,2013,1053,34,198,543,2.742,12.0,0.0,5.0
GB1,England,premier-league,2013,281,56,380,1052,2.768,58.0,16.0,29.0
FR1,France,ligue-1,2013,583,66,380,931,2.45,32.0,8.0,12.0
L1,Germany,bundesliga,2013,27,65,306,967,3.16,50.0,14.0,25.0
GR1,Greece,super-league-1,2013,683,64,306,776,2.536,14.0,2.0,7.0
IT1,Italy,serie-a,2013,506,77,380,1035,2.724,42.0,12.0,18.0
NL1,Netherlands,eredivisie,2013,610,42,306,978,3.196,22.0,4.0,8.0
PO1,Portugal,liga-portugal-bwin,2013,294,50,240,569,2.371,41.0,11.0,11.0
RU1,Russia,premier-liga,2013,2410,44,240,613,2.554,34.0,4.0,10.0
SC1,Scotland,scottish-premiership,2013,371,64,227,624,2.749,6.0,0.0,1.0
ES1,Spain,laliga,2013,13,65,380,1045,2.75,75.0,33.0,44.0
TR1,Turkey,super-lig,2013,36,45,306,809,2.644,14.0,2.0,6.0
UKR1,Ukraine,premier-liga,2013,660,58,224,591,2.638,24.0,0.0,12.0
BE1,Belgium,jupiler-pro-league,2014,2282,39,239,667,2.791,28.0,4.0,10.0
DK1,Denmark,superligaen,2014,865,57,198,478,2.414,12.0,0.0,4.0
GB1,England,premier-league,2014,631,57,380,975,2.566,44.0,8.0,19.0
FR1,France,ligue-1,2014,583,54,380,947,2.492,38.0,8.0,11.0
L1,Germany,bundesliga,2014,27,48,306,843,2.755,52.0,16.0,27.0
GR1,Greece,super-league-1,2014,683,71,305,759,2.489,24.0,0.0,6.0
IT1,Italy,serie-a,2014,506,63,380,1024,2.695,61.0,25.0,27.0
NL1,Netherlands,eredivisie,2014,383,68,306,942,3.078,20.0,2.0,8.0
PO1,Portugal,liga-portugal-bwin,2014,294,60,304,759,2.497,34.0,4.0,11.0
RU1,Russia,premier-liga,2014,964,42,240,583,2.429,30.0,6.0,11.0
SC1,Scotland,scottish-premiership,2014,371,62,227,585,2.577,6.0,0.0,2.0
ES1,Spain,laliga,2014,131,74,380,1009,2.655,62.0,26.0,38.0
TR1,Turkey,super-lig,2014,141,50,306,873,2.853,20.0,2.0,6.0
UKR1,Ukraine,premier-liga,2014,338,52,181,485,2.68,37.0,13.0,13.0
BE1,Belgium,jupiler-pro-league,2015,2282,35,240,694,2.892,22.0,4.0,7.0
DK1,Denmark,superligaen,2015,190,53,198,549,2.773,6.0,0.0,2.0
GB1,England,premier-league,2015,1003,64,380,1026,2.7,57.0,21.0,24.0
FR1,France,ligue-1,2015,583,78,380,960,2.526,40.0,4.0,14.0
L1,Germany,bundesliga,2015,27,63,306,866,2.83,58.0,16.0,29.0
GR1,Greece,super-league-1,2015,683,69,240,543,2.263,18.0,0.0,5.0
IT1,Italy,serie-a,2015,506,63,380,979,2.576,36.0,6.0,17.0
NL1,Netherlands,eredivisie,2015,383,66,306,912,2.98,26.0,2.0,5.0
PO1,Portugal,liga-portugal-bwin,2015,294,63,306,831,2.716,38.0,8.0,17.0
RU1,Russia,premier-liga,2015,2410,41,240,588,2.45,32.0,2.0,14.0
SC1,Scotland,scottish-premiership,2015,371,55,228,650,2.851,6.0,0.0,0.0
ES1,Spain,laliga,2015,131,59,380,1043,2.745,79.0,37.0,46.0
TR1,Turkey,super-lig,2015,114,58,306,827,2.703,20.0,2.0,6.0
UKR1,Ukraine,premier-liga,2015,338,67,182,488,2.681,26.0,8.0,10.0
BE1,Belgium,jupiler-pro-league,2016,58,38,240,654,2.725,40.0,10.0,13.0
DK1,Denmark,superligaen,2016,190,40,182,479,2.632,8.0,2.0,3.0
GB1,England,premier-league,2016,631,69,380,1064,2.8,51.0,15.0,24.0
FR1,France,ligue-1,2016,162,60,380,991,2.608,44.0,14.0,20.0
L1,Germany,bundesliga,2016,27,57,306,877,2.866,52.0,16.0,22.0
GR1,Greece,super-league-1,2016,683,45,240,556,2.317,20.0,2.0,5.0
IT1,Italy,serie-a,2016,506,73,380,1123,2.955,47.0,11.0,23.0
NL1,Netherlands,eredivisie,2016,234,59,306,884,2.889,31.0,7.0,11.0
